city,city_ascii,X,Y,country,iso2,iso3,admin_name,capital,population,id,MGLSDE_LOC,MGLSDE_L_4
Jerusalem,Jerusalem,31.7833,35.2167,Israel,IL,ISR,Jerusalem,primary,919438,1376261644,ירושלים,Jerusalem
Tel Aviv-Yafo,Tel Aviv-Yafo,32.08,34.78,Israel,IL,ISR,Tel Aviv,admin,451523,1376401542,תל אביב-יפו,Tel Aviv-Yafo
Haifa,Haifa,32.8,34.9833,Israel,IL,ISR,Haifa,admin,281087,1376133727,חיפה,Haifa
Rishon Leáº”iyyon,Rishon LeZiyyon,31.9711,34.7894,Israel,IL,ISR,Central,,249860,1376642268,ראשון לציון,Rishon LeZiyyon
Petaáº– Tiqwa,Petah Tiqwa,32.0833,34.8833,Israel,IL,ISR,Central,,236169,1376362310,פתח תקווה,Petah Tiqwa
Ashdod,Ashdod,31.7978,34.6503,Israel,IL,ISR,Southern,,220174,1376458766,אשדוד,Ashdod
Netanya,Netanya,32.3328,34.86,Israel,IL,ISR,Central,,217244,1376203187,נתניה,Netanya
Beersheba,Beersheba,31.2589,34.7978,Israel,IL,ISR,Southern,admin,209000,1376023307,באר שבע,Beersheba
BenÃ© Beraq,Bene Beraq,32.0807,34.8338,Israel,IL,ISR,Tel Aviv,,193774,1376944837,בני ברק,Bene Beraq
Holon,Holon,32.0167,34.7667,Israel,IL,ISR,Tel Aviv,,188834,1376222772,חולון,Holon
Ramat Gan,Ramat Gan,32.07,34.8235,Israel,IL,ISR,Tel Aviv,,152596,1376357911,רמת גן,Ramat Gan
Bat Yam,Bat Yam,32.0231,34.7503,Israel,IL,ISR,Tel Aviv,,128800,1376837517,בת ים,Bat Yam
Ashqelon,Ashqelon,31.6658,34.5664,Israel,IL,ISR,Southern,,134454,1376324059,אשקלון,Ashqelon
Reáº–ovot,Rehovot,31.8914,34.8078,Israel,IL,ISR,Central,,132671,1376684821,רחובות,Rehovot
Bet Shemesh,Bet Shemesh,31.7514,34.9886,Israel,IL,ISR,Jerusalem,,114371,1376846832,בית שמש,Bet Shemesh
Kefar Sava,Kefar Sava,32.1858,34.9077,Israel,IL,ISR,Central,,100800,1376008883,כפר סבא,Kefar Sava
Heráº•liyya,Herzliyya,32.1556,34.8422,Israel,IL,ISR,Tel Aviv,,93989,1376303805,הרצליה,Herzliyya
Nazareth,Nazareth,32.7021,35.2978,Israel,IL,ISR,Northern,admin,83400,1376505625,נצרת,Nazareth
Raâ€˜ananna,Ra`ananna,32.1833,34.8667,Israel,IL,ISR,Central,,74000,1376791991,רעננה,Ra`ananna
Ramla,Ramla,31.9275,34.8625,Israel,IL,ISR,Central,admin,75500,1376321361,רמלה,Ramla
Givatayim,Givatayim,32.0697,34.8117,Israel,IL,ISR,Tel Aviv,,59518,1376739486,גבעתיים,Givatayim
Hod HaSharon,Hod HaSharon,32.15,34.8833,Israel,IL,ISR,Central,,56659,1376159880,הוד השרון,Hod HaSharon
Qiryat Ata,Qiryat Ata,32.8,35.1,Israel,IL,ISR,Haifa,,55464,1376676929,קריית אתא,Qiryat Ata
Rosh Haâ€˜Ayin,Rosh Ha`Ayin,32.0833,34.95,Israel,IL,ISR,Central,,56300,1376619380,ראש העין,Rosh Ha`Ayin
Umm el Faá¸¥m,Umm el Fahm,32.5158,35.1525,Israel,IL,ISR,Haifa,,55300,1376814378,אום אל פחם,Umm el Fahm
Nes áº”iyyona,Nes Ziyyona,31.9333,34.8,Israel,IL,ISR,Central,,50200,1376745785,נס ציונה,Nes Ziyyona
